country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
FR,2010,1996075.1,64658856.0,France,30870.869413464414,33340.53896654157,,1.3704
FR,2011,2062141.4,64978721.0,France,31735.641580264408,34274.49290668556,,1.3413
FR,2012,2088286.7,65276983.0,France,31991.16448136091,34550.45763986978,,1.2994
FR,2013,2120351.9,65600350.0,France,32322.265048890746,34908.04625280201,,1.1475
FR,2014,2153733.1,66165980.0,France,32550.460221400786,35154.49703911285,,1.1558
FR,2015,2201401.6,66458153.0,France,33124.62806482148,35774.598310007204,,1.1096
FR,2016,2231819.2,66638391.0,France,33491.492914347225,36170.812347495004,,1.1274
FR,2017,2291680.5,66809816.0,France,34301.553831550744,37045.67813807481,,1.1092
FR,2018,2355362.8,67026224.0,France,35140.91439792282,37952.18754975664,,1.1071
FR,2019,2432206.8,67290471.0,France,36144.89189710085,39036.48324886892,,1.1061
FR,2020,2318276.2,67473651.0,France,34358.24452422176,37106.9040861595,,1.0943
FR,2021,2508102.3,67728568.0,France,37031.67472845432,39994.20870673067,,1.049
FR,2022,2653997.2,68091703.0,France,38976.80749738334,42094.95209717401,,0.9906
FR,2023,2833826.4,68277210.0,France,41504.718778052,44825.096280296166,,0.9709
FR,2024,2935236.2,68669303.0,France,42744.51715346521,46164.07852574243,,0.9359
FR,2025,2991055.9,68882600.0,France,43422.517442721386,46896.3188381391,,1.0004
HR,1995,17520.1,4658893.0,Croatia,3760.571449054529,4061.4171649788914,,0.2785
HR,1996,19176.8,4581167.0,Croatia,4186.007626441035,4520.888236556319,,0.2957
HR,1997,21280.4,4533028.0,Croatia,4694.522072221923,5070.083837999677,,0.3138
HR,1998,22936.1,4536812.0,Croatia,5055.554428969064,5459.99878328659,,0.323
HR,1999,22188.9,4527460.0,Croatia,4900.959920131818,5293.036713742364,,0.3012
HR,2000,23631.3,4497735.0,Croatia,5254.044535749661,5674.368098609634,,0.3176
HR,2001,25936.5,4295406.0,Croatia,6038.195225317467,6521.250843342865,,0.3531
HR,2002,28760.9,4305494.0,Croatia,6680.046470857932,7214.450188526567,,0.3732
HR,2003,31016.3,4305384.0,Croatia,7204.072853896424,7780.398682208139,,0.3942
HR,2004,33802.7,4305725.0,Croatia,7850.64071672018,8478.691974057794,,0.4079
HR,2005,36834.9,4310861.0,Croatia,8544.673558252052,9228.247442912218,,0.4153
HR,2006,40621.0,4312487.0,Croatia,9419.390713525629,10172.941970607679,,0.4381
HR,2007,44423.0,4313530.0,Croatia,10298.525801373817,11122.407865483723,,0.4466
HR,2008,48556.5,4311967.0,Croatia,11260.870039125995,12161.739642256076,,0.493
HR,2009,45861.3,4309796.0,Croatia,10641.176519723904,11492.470641301818,,0.4993
HR,2010,45983.8,4302847.0,Croatia,10686.831300299546,11541.77780432351,,0.4744
HR,2011,45758.9,4289857.0,Croatia,10666.765815270766,11520.107080492427,,0.4508
HR,2012,44867.7,4275984.0,Croatia,10492.953200947431,11332.389457023226,,0.4262
HR,2013,44799.3,4247803.0,Croatia,10546.46366604101,11390.180759324292,,0.3744
HR,2014,44280.7,4217632.0,Croatia,10498.948224975531,11338.864082973574,,0.3728
HR,2015,45487.5,4180915.0,Croatia,10879.79545147414,11750.179087592072,,0.3645
HR,2016,47573.5,4131115.0,Croatia,11515.898250230264,12437.170110248686,,0.3876
HR,2017,50204.3,4078769.0,Croatia,12308.689214809665,13293.384351994438,,0.398
HR,2018,53035.3,4014341.0,Croatia,13211.458617989852,14268.375307429042,,0.4162
HR,2019,55767.8,3968676.0,Croatia,14051.991142637999,15176.15043404904,,0.43
HR,2020,50717.8,3933511.0,Croatia,12893.77352700933,13925.275409170079,,0.4106
HR,2021,58390.4,3893026.0,Croatia,14998.71822073626,16198.615678395163,,0.4249
HR,2022,67609.4,3862305.0,Croatia,17504.935524253004,18905.330366193244,,0.4449
