idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
120,Software Data Engineer,Aetion,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
121,Celonis Data Analyst,MediaMarkt Iberia,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
122,Product Data Analyst (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
123,DATA ENGINEER (H/M),Capgemini Engineering,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
124,"Customer Engineer, Data Analytics, Google Cloud",Google,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
125,Game Data Analyst (M/F),Madbox,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
126,Data analyst,Sopra Steria,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
127,Senior Data Analyst - BI Team,Veepee,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
128,Data Analyst,Festo España,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
129,Data Engineer (Madrid o Barcelona),Innova-tsn,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
130,DATA ENGINEER (H/M),Capgemini,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
131,Data engineer - MDM,Sanofi,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
132,"Data Analyst, Pricing-ESP",Ingram Micro,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
133,"Strategic Data Analyst, International - Remote",Boats Group,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
134,Digital Data Engineer,Sanofi,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
135,Intelligence Analyst (Remote),CrowdStrike,Catalonia,Catalonia,backend,Mid,38130.55,1.0741,True,False,28590.0
