sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
H Transporte y almacenamiento,H,2016,Hombres,24010.1,False
H Transporte y almacenamiento,H,2015,Ambos sexos,23937.81,False
H Transporte y almacenamiento,H,2015,Mujeres,22039.75,False
H Transporte y almacenamiento,H,2015,Hombres,24497.46,False
H Transporte y almacenamiento,H,2014,Ambos sexos,23604.85,False
H Transporte y almacenamiento,H,2014,Mujeres,21991.84,False
H Transporte y almacenamiento,H,2014,Hombres,24069.79,False
H Transporte y almacenamiento,H,2013,Ambos sexos,23525.42,False
H Transporte y almacenamiento,H,2013,Mujeres,21844.42,False
H Transporte y almacenamiento,H,2013,Hombres,24022.66,False
H Transporte y almacenamiento,H,2012,Ambos sexos,23454.25,False
H Transporte y almacenamiento,H,2012,Mujeres,21580.65,False
H Transporte y almacenamiento,H,2012,Hombres,23998.5,False
H Transporte y almacenamiento,H,2011,Ambos sexos,23346.59,False
H Transporte y almacenamiento,H,2011,Mujeres,21663.87,False
H Transporte y almacenamiento,H,2011,Hombres,23820.98,False
H Transporte y almacenamiento,H,2010,Ambos sexos,22990.76,False
H Transporte y almacenamiento,H,2010,Mujeres,20835.77,False
H Transporte y almacenamiento,H,2010,Hombres,23616.48,False
H Transporte y almacenamiento,H,2009,Ambos sexos,22196.86,False
H Transporte y almacenamiento,H,2009,Mujeres,19262.12,False
H Transporte y almacenamiento,H,2009,Hombres,23073.94,False
H Transporte y almacenamiento,H,2008,Ambos sexos,21823.95,False
H Transporte y almacenamiento,H,2008,Mujeres,18506.62,False
H Transporte y almacenamiento,H,2008,Hombres,22873.71,False
I Hosteleria,I,2024,Ambos sexos,17653.42,False
I Hosteleria,I,2024,Mujeres,16222.08,False
I Hosteleria,I,2024,Hombres,19526.77,False
I Hosteleria,I,2023,Ambos sexos,16985.78,False
I Hosteleria,I,2023,Mujeres,15676.28,False
I Hosteleria,I,2023,Hombres,18701.7,False
I Hosteleria,I,2022,Ambos sexos,16274.71,False
I Hosteleria,I,2022,Mujeres,15022.32,False
I Hosteleria,I,2022,Hombres,17921.24,False
I Hosteleria,I,2021,Ambos sexos,14632.81,False
I Hosteleria,I,2021,Mujeres,13388.55,False
I Hosteleria,I,2021,Hombres,16229.88,False
I Hosteleria,I,2020,Ambos sexos,14136.95,False
I Hosteleria,I,2020,Mujeres,12874.08,False
