Title,Experience Level,Remote Status,Normalized Salary,Views,Applies,Location,Company Name,Formatted Work Type,Formatted Experience Level,Max Salary,Med Salary,Min Salary,Pay Period,Currency,Zip Code,Fips,City,Original Listed Time
data analyst,Mid-Senior,Unknown,,66.0,43.0,"juno beach, fl",amtex systems inc.,Full-time,Mid-Senior level,,,,,,34217.0,12081.0,juno beach,1713456787000.0
azure data architect,Unknown,Unknown,,12.0,2.0,"burbank, ca","metasys technologies, inc.",Contract,,,,,,,91501.0,6037.0,burbank,1713457215000.0
senior research data analyst-dbh,Mid-Senior,Unknown,,13.0,4.0,"jefferson city, mo",state of missouri,Full-time,Mid-Senior level,,,,,,65101.0,29051.0,jefferson city,1713457630000.0
data scientist i (incrementality measurement analytics),Entry Level,Unknown,111750.0,20.0,4.0,"seattle, wa",expedia group,Full-time,Entry level,137500.0,,86000.0,YEARLY,USD,98101.0,53033.0,seattle,1713312000000.0
sr. staff data scientist,Unknown,Unknown,170000.0,9.0,1.0,"dallas, tx",blue yonder,Full-time,,189615.0,,150385.0,YEARLY,USD,75201.0,48113.0,dallas,1713457463000.0
"associate director, analytics & insights",Mid-Senior,Unknown,148000.0,36.0,4.0,"new york, united states",solve(d) | an ipg health company,Full-time,Mid-Senior level,170000.0,,126000.0,YEARLY,USD,,,new york,1713457515000.0
kyc data analytics,Entry Level,Unknown,99500.0,40.0,12.0,"jersey city, nj",mizuho,Full-time,Entry level,125000.0,,74000.0,YEARLY,USD,7302.0,34017.0,jersey city,1713457738000.0
data engineer,Unknown,Unknown,,10.0,2.0,"newark, nj",techtriad,Full-time,,,,,,,7102.0,34013.0,newark,1713458232000.0
"senior machine learning scientist, marketing",Mid-Senior,Unknown,225000.0,13.0,2.0,"seattle, wa",expedia group,Full-time,Mid-Senior level,277000.0,,173000.0,YEARLY,USD,98101.0,53033.0,seattle,1713312000000.0
actuarial data scientist iii,Entry Level,Unknown,178750.0,4.0,,"seattle, wa",expedia group,Full-time,Entry level,220000.0,,137500.0,YEARLY,USD,98101.0,53033.0,seattle,1713312000000.0
data analyst - programmer (department of translational medicine and human genetics),Entry Level,Unknown,62702.5,24.0,8.0,"philadelphia, pa",university of pennsylvania,Full-time,Entry level,73581.0,,51824.0,YEARLY,USD,19102.0,42101.0,philadelphia,1713457334000.0
gcp data architect,Mid-Senior,Unknown,,7.0,,"raritan, nj",vbeyond corporation,Full-time,Mid-Senior level,,,,,,8869.0,34035.0,raritan,1713458272000.0
cloud data architect- only w2,Mid-Senior,Unknown,,37.0,6.0,"milwaukee, wi",compunnel inc.,Contract,Mid-Senior level,,,,,,53202.0,55079.0,milwaukee,1713457804000.0
data engineer (data as a service),Mid-Senior,Remote,80000.0,36.0,18.0,"atlanta, ga",xplor technologies,Full-time,Mid-Senior level,90000.0,,70000.0,YEARLY,USD,30303.0,13121.0,atlanta,1713457992000.0
r&d lead data scientist,Mid-Senior,Remote,118318.5,13.0,3.0,"cleveland, oh",sherwin-williams,Full-time,Mid-Senior level,133336.0,,103301.0,YEARLY,USD,44102.0,39035.0,cleveland,1713398400000.0
tableau data analyst - powerbi and sharepoint,Entry Level,Unknown,124575.0,10.0,2.0,"sterling, va","bae systems, inc.",Part-time,Entry level,156860.0,,92290.0,YEARLY,USD,20164.0,,sterling,1713398400000.0
engineer associate – data scientist – ai/ml technology,Entry Level,Unknown,,24.0,6.0,"fairborn, oh","bae systems, inc.",Full-time,Entry level,,,,,,45324.0,39057.0,fairborn,1713398400000.0
gcp data engineer- need on w2 or 1099,Mid-Senior,Remote,,150.0,56.0,united states,naztec international group,Contract,Mid-Senior level,,,,,,,,united states,1713458765000.0
director bi/data analytics,Unknown,Unknown,,11.0,,"miami, fl",nicklaus children's health system,Full-time,,,,,,,33122.0,12025.0,miami,1713459621000.0
snowflake data architect(looking for local profiles only at illinois),Mid-Senior,Unknown,,30.0,11.0,"chicago, il",it america inc,Contract,Mid-Senior level,,,,,,60601.0,17031.0,chicago,1713459945000.0
analytics engineer,Unknown,Remote,171600.0,34.0,8.0,united states,radius group,Full-time,,90.0,,75.0,HOURLY,USD,,,united states,1713459294000.0
associate data engineer,Mid-Senior,Unknown,,62.0,24.0,"new york, ny",denodo,Full-time,Mid-Senior level,,,,,,10001.0,36061.0,new york,1713459992000.0
manager resources and analytics,Mid-Senior,Unknown,,10.0,,united states,constellis,Full-time,Mid-Senior level,,,,,,,,united states,1713459505000.0
